,Store,Type,Size
0,1,A,151315
1,2,A,202307
2,3,B,37392
3,4,A,205863
4,5,B,34875
5,6,A,202505
6,7,B,70713
7,8,A,155078
8,9,B,125833
9,10,B,126512
10,11,A,207499
11,12,B,112238
12,13,A,219622
13,14,A,200898
14,15,B,123737
15,16,B,57197
16,17,B,93188
17,18,B,120653
18,19,A,203819
19,20,A,203742
20,21,B,140167
21,22,B,119557
22,23,B,114533
23,24,A,203819
24,25,B,128107
25,26,A,152513
26,27,A,204184
27,28,A,206302
28,29,B,93638
29,30,C,42988
30,31,A,203750
31,32,A,203007
32,33,A,39690
33,34,A,158114
34,35,B,103681
35,36,A,39910
36,37,C,39910
37,38,C,39690
38,39,A,184109
39,40,A,155083
40,41,A,196321
41,42,C,39690
42,43,C,41062
43,44,C,39910
44,45,B,118221
